,Close,Signal_ML,Daily_Return,Strategy_Return,Cumulative_Market_Return,Cumulative_Strategy_Return,Cumulative_Max,Drawdown,Cum_Max,Sharpe_Ratio,Max_Drawdown
1,61649.6796875,1,0.02223798894564699,0.02223798894564699,1.022237988945647,1.022237988945647,1.022237988945647,0.0,1.022237988945647,0.8757527346801502,18.655762364763152
2,62940.45703125,1,0.020937291974474137,0.020937291974474137,1.0436408841876013,1.0436408841876013,1.0436408841876013,0.0,1.0436408841876013,,
3,63192.9765625,1,0.004012038411551844,0.004012038411551844,1.0478280115028278,1.0478280115028278,1.0478280115028278,0.0,1.0478280115028278,,
4,63394.83984375,1,0.003194394254405042,0.003194394254405042,1.0511751872823771,1.0511751872823771,1.0511751872823771,0.0,1.0511751872823771,,
5,63648.7109375,1,0.004004601863112578,0.004004601863112578,1.055384725395826,1.055384725395826,1.055384725395826,0.0,1.055384725395826,,
6,63329.80078125,1,-0.005010473135318549,-0.005010473135318549,1.0500967485818047,1.0500967485818047,1.055384725395826,0.00501047313531849,1.055384725395826,,
7,64301.96875,1,0.01535087678718594,0.01535087678718594,1.0662166543839084,1.0662166543839084,1.0662166543839084,0.0,1.0662166543839084,,
8,63143.14453125,1,-0.018021597802944433,-0.018021597802944433,1.0470017266678007,1.0470017266678007,1.0662166543839084,0.018021597802944402,1.0662166543839084,,
9,65181.01953125,1,0.032273891570151925,0.032273891570151925,1.080792546868039,1.080792546868039,1.080792546868039,0.0,1.080792546868039,,
10,65790.6640625,1,0.00935309904070647,0.00935309904070647,1.0909013066013533,1.0909013066013533,1.0909013066013533,0.0,1.0909013066013533,,
11,65887.6484375,1,0.0014741358273548943,0.0014741358273548943,1.0925094433015226,1.0925094433015226,1.0925094433015226,0.0,1.0925094433015226,,
12,65635.3046875,1,-0.003829909793174213,-0.003829909793174213,1.0883252306854867,1.0883252306854867,1.0925094433015226,0.0038299097931742544,1.0925094433015226,,
13,63329.5,1,-0.035130555094979754,-0.035130555094979754,1.0500917612076337,1.0500917612076337,1.0925094433015226,0.03882591803115606,1.0925094433015226,,
14,60837.0078125,1,-0.039357521968434894,-0.039357521968434894,1.0087627516470317,1.0087627516470317,1.0925094433015226,0.07665534807773518,1.0925094433015226,,
15,60632.78515625,1,-0.0033568819965540397,-0.0033568819965540397,1.0053764541272334,1.0053764541272334,1.0925094433015226,0.07975490711638748,1.0925094433015226,,
16,60759.40234375,1,0.0020882627636797935,0.0020882627636797935,1.0074759443398678,1.0074759443398678,1.0925094433015226,0.07783319355545958,1.0925094433015226,,
17,62067.4765625,1,0.021528753876634443,0.021528753876634443,1.0291656459821907,1.0291656459821907,1.0925094433015226,0.057980091346312976,1.0925094433015226,,
18,62089.94921875,1,0.0003620681473552878,0.0003620681473552878,1.029538274080953,1.029538274080953,1.0925094433015226,0.057639015943215036,1.0925094433015226,,
19,62818.953125,1,0.011741093613744757,0.011741093613744757,1.0416261793358708,1.0416261793358708,1.0925094433015226,0.04657466741146372,1.0925094433015226,,
20,62236.66015625,1,-0.009269383518558882,-0.009269383518558882,1.0319709467966354,1.0319709467966354,1.0925094433015226,0.05541233247553643,1.0925094433015226,,
21,62131.96875,1,-0.001682150134457161,-0.001682150134457161,1.0302350167297256,1.0302350167297256,1.0925094433015226,0.0570012707474692,1.0925094433015226,,
22,60582.1015625,1,-0.024944762232405493,-0.024944762232405493,1.0045360491939044,1.0045360491939044,1.0925094433015226,0.08052414983413404,1.0925094433015226,,
23,60274.5,1,-0.005077433013489285,-0.005077433013489285,0.9994355846944871,0.9994355846944871,1.0925094433015226,0.08519272687087237,1.0925094433015226,,
24,62445.08984375,1,0.036011743668549645,0.036011743668549645,1.035427002783732,1.035427002783732,1.0925094433015226,0.05224892184482136,1.0925094433015226,,
25,63193.0234375,1,0.011977460447594401,0.011977460447594401,1.0478287887559454,1.0478287887559454,1.0925094433015226,0.04089727079205271,1.0925094433015226,,
26,62851.375,1,-0.005406426515387475,-0.005406426515387475,1.042163779408829,1.042163779408829,1.0925094433015226,0.046082589218223016,1.0925094433015226,,
27,66046.125,1,0.050830232433260125,0.050830232433260125,1.0951372065497047,1.0951372065497047,1.0951372065497047,0.0,1.0951372065497047,,
28,67041.109375,1,0.015064992457922477,0.015064992457922477,1.1116354403067663,1.1116354403067663,1.1116354403067663,0.0,1.1116354403067663,,
29,67612.71875,1,0.008526251733136592,0.008526251733136592,1.121113523906298,1.121113523906298,1.121113523906298,0.0,1.121113523906298,,
30,67399.8359375,1,-0.0031485616380424464,-0.0031485616380424464,1.117583628873036,1.117583628873036,1.121113523906298,0.0031485616380423484,1.121113523906298,,
31,68418.7890625,1,0.015118035686984221,0.015118035686984221,1.134479298057528,1.134479298057528,1.134479298057528,0.0,1.134479298057528,,
32,68362.734375,1,-0.0008192879217548965,-0.0008192879217548965,1.1335498328711484,1.1335498328711484,1.134479298057528,0.0008192879217549764,1.134479298057528,,
33,69001.703125,1,0.009346740674458287,0.009346740674458287,1.1441448292005705,1.1441448292005705,1.1441448292005705,0.0,1.1441448292005705,,
34,67367.8515625,1,-0.023678423698328066,-0.023678423698328066,1.1170532831625082,1.1170532831625082,1.1441448292005705,0.02367842369832806,1.1441448292005705,,
35,67361.40625,1,-9.567341618454961e-05,-9.567341618454961e-05,1.1169464108588478,1.1169464108588478,1.1441448292005705,0.02377183171882755,1.1441448292005705,,
36,66432.1953125,1,-0.01379441121005398,-0.01379441121005398,1.101538792767867,1.101538792767867,1.1441448292005705,0.03723832450693577,1.1441448292005705,,
